"Target","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
NADIR,4 Jul 2014 01:42:00.000,4 Jul 2014 01:43:00.000,60
SUN,4 Jul 2014 02:25:00.000,4 Jul 2014 02:35:00.000,600
