"Target","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
NADIR,4 Jul 2014 01:31:00.00,4 Jul 2014 01:32:00.00,60
SUN,4 Jul 2014 03:50:00.000,4 Jul 2014 04:00:00.000,600
