"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
4 Jul 2014 00:58:19.332,4 Jul 2014 00:58:27.893,8.561
4 Jul 2014 00:58:27.893,4 Jul 2014 01:33:40.605,2112.712
4 Jul 2014 01:33:40.605,4 Jul 2014 01:33:49.150,8.545
4 Jul 2014 02:35:28.899,4 Jul 2014 02:35:37.457,8.558
4 Jul 2014 02:35:37.457,4 Jul 2014 03:10:50.169,2112.712
4 Jul 2014 03:10:50.169,4 Jul 2014 03:10:58.714,8.545
4 Jul 2014 04:12:38.461,4 Jul 2014 04:12:47.021,8.560
4 Jul 2014 04:12:47.021,4 Jul 2014 04:47:59.735,2112.714
4 Jul 2014 04:47:59.735,4 Jul 2014 04:48:08.280,8.545
4 Jul 2014 05:49:48.026,4 Jul 2014 05:49:56.587,8.560
4 Jul 2014 05:49:56.587,4 Jul 2014 06:25:09.301,2112.714
4 Jul 2014 06:25:09.301,4 Jul 2014 06:25:17.846,8.545
4 Jul 2014 07:26:57.591,4 Jul 2014 07:27:06.151,8.560
4 Jul 2014 07:27:06.151,4 Jul 2014 08:02:18.866,2112.715
4 Jul 2014 08:02:18.866,4 Jul 2014 08:02:27.411,8.545
4 Jul 2014 09:04:07.155,4 Jul 2014 09:04:15.715,8.560
4 Jul 2014 09:04:15.715,4 Jul 2014 09:39:28.430,2112.714
4 Jul 2014 09:39:28.430,4 Jul 2014 09:39:36.975,8.545
4 Jul 2014 10:41:16.718,4 Jul 2014 10:41:25.278,8.560
4 Jul 2014 10:41:25.278,4 Jul 2014 11:16:37.995,2112.716
4 Jul 2014 11:16:37.995,4 Jul 2014 11:16:46.540,8.545
4 Jul 2014 12:18:26.282,4 Jul 2014 12:18:34.843,8.560
4 Jul 2014 12:18:34.843,4 Jul 2014 12:53:47.560,2112.717
4 Jul 2014 12:53:47.560,4 Jul 2014 12:53:56.105,8.545
4 Jul 2014 13:55:35.847,4 Jul 2014 13:55:44.407,8.561
4 Jul 2014 13:55:44.407,4 Jul 2014 14:30:57.125,2112.718
4 Jul 2014 14:30:57.125,4 Jul 2014 14:31:05.670,8.545
4 Jul 2014 15:32:45.411,4 Jul 2014 15:32:53.974,8.563
4 Jul 2014 15:32:53.974,4 Jul 2014 16:08:06.690,2112.716
4 Jul 2014 16:08:06.690,4 Jul 2014 16:08:15.235,8.545
4 Jul 2014 17:09:54.975,4 Jul 2014 17:10:03.538,8.563
4 Jul 2014 17:10:03.538,4 Jul 2014 17:45:16.255,2112.717
4 Jul 2014 17:45:16.255,4 Jul 2014 17:45:24.800,8.544
4 Jul 2014 18:47:04.542,4 Jul 2014 18:47:13.100,8.558
4 Jul 2014 18:47:13.100,4 Jul 2014 19:22:25.822,2112.722
4 Jul 2014 19:22:25.822,4 Jul 2014 19:22:34.366,8.544
4 Jul 2014 20:24:14.106,4 Jul 2014 20:24:22.664,8.558
4 Jul 2014 20:24:22.664,4 Jul 2014 20:59:35.387,2112.722
4 Jul 2014 20:59:35.387,4 Jul 2014 20:59:43.931,8.544
4 Jul 2014 22:01:23.668,4 Jul 2014 22:01:32.231,8.563
4 Jul 2014 22:01:32.231,4 Jul 2014 22:36:44.952,2112.721
4 Jul 2014 22:36:44.952,4 Jul 2014 22:36:53.496,8.544
4 Jul 2014 23:38:33.235,4 Jul 2014 23:38:41.794,8.559
4 Jul 2014 23:38:41.794,5 Jul 2014 00:13:54.517,2112.723
5 Jul 2014 00:13:54.517,5 Jul 2014 00:14:03.061,8.544
5 Jul 2014 01:15:42.797,5 Jul 2014 01:15:51.358,8.561
5 Jul 2014 01:15:51.358,5 Jul 2014 01:51:04.082,2112.724
5 Jul 2014 01:51:04.082,5 Jul 2014 01:51:12.626,8.544
5 Jul 2014 02:52:52.363,5 Jul 2014 02:53:00.922,8.559
5 Jul 2014 02:53:00.922,5 Jul 2014 03:28:13.647,2112.725
5 Jul 2014 03:28:13.647,5 Jul 2014 03:28:22.191,8.544
5 Jul 2014 04:30:01.928,5 Jul 2014 04:30:10.490,8.562
5 Jul 2014 04:30:10.490,5 Jul 2014 05:05:23.212,2112.723
5 Jul 2014 05:05:23.212,5 Jul 2014 05:05:31.756,8.544
5 Jul 2014 06:07:11.493,5 Jul 2014 06:07:20.051,8.558
5 Jul 2014 06:07:20.051,5 Jul 2014 06:42:32.777,2112.727
5 Jul 2014 06:42:32.777,5 Jul 2014 06:42:41.321,8.544
5 Jul 2014 07:44:21.057,5 Jul 2014 07:44:29.615,8.557
5 Jul 2014 07:44:29.615,5 Jul 2014 08:19:42.342,2112.727
5 Jul 2014 08:19:42.342,5 Jul 2014 08:19:50.886,8.544
5 Jul 2014 09:21:30.618,5 Jul 2014 09:21:39.179,8.560
5 Jul 2014 09:21:39.179,5 Jul 2014 09:56:51.907,2112.728
5 Jul 2014 09:56:51.907,5 Jul 2014 09:57:00.451,8.544
5 Jul 2014 10:58:40.186,5 Jul 2014 10:58:48.743,8.557
5 Jul 2014 10:58:48.743,5 Jul 2014 11:34:01.472,2112.729
5 Jul 2014 11:34:01.472,5 Jul 2014 11:34:10.016,8.544
5 Jul 2014 12:35:49.747,5 Jul 2014 12:35:58.307,8.560
5 Jul 2014 12:35:58.307,5 Jul 2014 13:11:11.037,2112.730
5 Jul 2014 13:11:11.037,5 Jul 2014 13:11:19.581,8.544
5 Jul 2014 14:12:59.314,5 Jul 2014 14:13:07.871,8.557
5 Jul 2014 14:13:07.871,5 Jul 2014 14:48:20.602,2112.731
5 Jul 2014 14:48:20.602,5 Jul 2014 14:48:29.146,8.544
5 Jul 2014 15:50:08.875,5 Jul 2014 15:50:17.435,8.560
5 Jul 2014 15:50:17.435,5 Jul 2014 16:25:30.167,2112.732
5 Jul 2014 16:25:30.167,5 Jul 2014 16:25:38.711,8.544
5 Jul 2014 17:27:18.439,5 Jul 2014 17:27:26.999,8.560
5 Jul 2014 17:27:26.999,5 Jul 2014 18:02:39.732,2112.733
5 Jul 2014 18:02:39.732,5 Jul 2014 18:02:48.275,8.543
5 Jul 2014 19:04:28.003,5 Jul 2014 19:04:36.563,8.560
5 Jul 2014 19:04:36.563,5 Jul 2014 19:39:49.297,2112.734
5 Jul 2014 19:39:49.297,5 Jul 2014 19:39:57.840,8.543
5 Jul 2014 20:41:37.567,5 Jul 2014 20:41:46.127,8.560
5 Jul 2014 20:41:46.127,5 Jul 2014 21:16:58.862,2112.735
5 Jul 2014 21:16:58.862,5 Jul 2014 21:17:07.405,8.543
5 Jul 2014 22:18:47.133,5 Jul 2014 22:18:55.691,8.558
5 Jul 2014 22:18:55.691,5 Jul 2014 22:54:08.427,2112.735
5 Jul 2014 22:54:08.427,5 Jul 2014 22:54:16.970,8.543
5 Jul 2014 23:55:56.695,5 Jul 2014 23:56:05.255,8.560
5 Jul 2014 23:56:05.255,6 Jul 2014 00:31:17.992,2112.736
6 Jul 2014 00:31:17.992,6 Jul 2014 00:31:26.535,8.543
6 Jul 2014 01:33:06.259,6 Jul 2014 01:33:14.819,8.560
6 Jul 2014 01:33:14.819,6 Jul 2014 02:08:27.556,2112.737
6 Jul 2014 02:08:27.556,6 Jul 2014 02:08:36.100,8.543
6 Jul 2014 03:10:15.824,6 Jul 2014 03:10:24.383,8.559
6 Jul 2014 03:10:24.383,6 Jul 2014 03:45:37.121,2112.738
6 Jul 2014 03:45:37.121,6 Jul 2014 03:45:45.664,8.543
6 Jul 2014 04:47:25.387,6 Jul 2014 04:47:33.947,8.560
6 Jul 2014 04:47:33.947,6 Jul 2014 05:22:46.686,2112.739
6 Jul 2014 05:22:46.686,6 Jul 2014 05:22:55.229,8.543
6 Jul 2014 06:24:34.951,6 Jul 2014 06:24:43.511,8.560
6 Jul 2014 06:24:43.511,6 Jul 2014 06:59:56.251,2112.740
6 Jul 2014 06:59:56.251,6 Jul 2014 07:00:04.794,8.543
6 Jul 2014 08:01:44.515,6 Jul 2014 08:01:53.075,8.560
6 Jul 2014 08:01:53.075,6 Jul 2014 08:37:05.816,2112.741
6 Jul 2014 08:37:05.816,6 Jul 2014 08:37:14.359,8.543
6 Jul 2014 09:38:54.078,6 Jul 2014 09:39:02.639,8.560
6 Jul 2014 09:39:02.639,6 Jul 2014 10:14:15.381,2112.742
6 Jul 2014 10:14:15.381,6 Jul 2014 10:14:23.924,8.543
6 Jul 2014 11:16:03.642,6 Jul 2014 11:16:12.203,8.560
6 Jul 2014 11:16:12.203,6 Jul 2014 11:51:24.946,2112.743
6 Jul 2014 11:51:24.946,6 Jul 2014 11:51:33.488,8.543
6 Jul 2014 12:53:13.206,6 Jul 2014 12:53:21.766,8.560
6 Jul 2014 12:53:21.766,6 Jul 2014 13:28:34.510,2112.744
6 Jul 2014 13:28:34.510,6 Jul 2014 13:28:43.053,8.543
6 Jul 2014 14:30:22.770,6 Jul 2014 14:30:31.330,8.560
6 Jul 2014 14:30:31.330,6 Jul 2014 15:05:44.075,2112.745
6 Jul 2014 15:05:44.075,6 Jul 2014 15:05:52.618,8.543
6 Jul 2014 16:07:32.334,6 Jul 2014 16:07:40.894,8.560
6 Jul 2014 16:07:40.894,6 Jul 2014 16:42:53.640,2112.746
6 Jul 2014 16:42:53.640,6 Jul 2014 16:43:02.183,8.543
